Name,Birthdate,Age,Score,Is_Passed,Category,Complex_Number
Alice,1990-01-01,67,46.99,False,D,(9.842112428529607+2.3007766647724073j)
Bob,1990-01-02,23,1.42,True,D,(4.615491941204492+4.244876801061675j)
Charlie,1990-01-03,62,81.09,True,B,(4.071414231366466+4.73256564247545j)
David,1990-01-04,33,92.57,False,C,(6.422757840487402+2.5663408550225673j)
Eve,1990-01-05,64,95.19,True,A,(7.967096256278611+7.581622779476835j)
Alice,1990-01-06,43,19.44,True,C,(8.16094852228586+2.11675912135309j)
Bob,1990-01-07,57,88.41,False,D,(3.5798731569916926+7.126397739731085j)
Charlie,1990-01-08,51,35.92,True,D,(2.8647522661753504+6.943156876775706j)
David,1990-01-09,63,50.06,False,C,(2.826071067170061+9.287494375416975j)
Eve,1990-01-10,54,20.16,True,A,(9.886341645298645+2.5971161731111976j)
Alice,1990-01-11,44,23.42,True,A,(5.193126469749834+1.1460051374095142j)
Bob,1990-01-12,18,40.31,True,A,(2.7993913438716778+3.0071954899971027j)
Charlie,1990-01-13,42,14.8,True,D,(2.5128411997354396+9.788692572011684j)
David,1990-01-14,67,50.63,True,A,(4.307535417725253+9.705495374939398j)
Eve,1990-01-15,64,13.64,False,C,(6.473497136950657+3.9093273926056935j)
Alice,1990-01-16,25,82.36,True,A,(6.961439128857913+6.759060411151502j)
Bob,1990-01-17,65,99.45,True,A,(3.4953211506668485+3.672022467322959j)
Charlie,1990-01-18,31,58.35,False,D,(3.687332315862741+9.056295012937838j)
David,1990-01-19,21,91.5,False,D,(4.403254784703858+7.096228016870661j)
Eve,1990-01-20,18,91.57,False,C,(3.1944263590537783+7.9913041508115095j)
Alice,1990-01-21,23,43.74,False,B,(9.959677637292602+5.123728114615139j)
Bob,1990-01-22,21,68.6,True,C,(9.836973265634716+4.193920705185172j)
Charlie,1990-01-23,69,13.19,False,A,(9.05393911940924+8.205439501520143j)
David,1990-01-24,68,54.65,True,D,(4.637288698338622+7.663723637234669j)
Eve,1990-01-25,44,49.9,True,C,(7.81754320585126+9.630835805662956j)
Alice,1990-01-26,24,4.71,True,B,(3.6748937331245712+9.036229822974398j)
Bob,1990-01-27,36,80.62,False,B,(1.4600723339953463+1.9375488614429295j)
Charlie,1990-01-28,32,58.94,False,C,(8.05735919777826+2.783830871106445j)
David,1990-01-29,28,64.57,True,A,(7.02435983224266+5.729974593604726j)
Eve,1990-01-30,41,55.97,True,D,(5.283544488853494+7.675404716016859j)
Alice,1990-01-31,44,53.47,True,C,(1.1911624243655385+6.651897713530684j)
Bob,1990-02-01,43,52.76,False,B,(1.9412591557331718+1.2842855017046657j)
Charlie,1990-02-02,29,29.81,False,B,(1.4354036536538022+9.319618915890109j)
David,1990-02-03,65,81.46,False,C,(7.0926185262189945+9.588285262046519j)
Eve,1990-02-04,29,15.07,True,B,(7.0534533334018334+3.5288678022350175j)
Alice,1990-02-05,60,53.32,False,D,(1.7710703710575042+2.4914270142959154j)
Bob,1990-02-06,23,87.28,True,D,(5.1139784011269365+9.634807755616743j)
Charlie,1990-02-07,37,88.39,False,A,(5.711186142628453+8.031140472322111j)
David,1990-02-08,33,24.05,False,B,(9.411335967415784+8.228993335833295j)
Eve,1990-02-09,44,25.32,False,A,(6.699656458412739+4.435195417381834j)
Alice,1990-02-10,18,21.16,True,A,(2.064414724029838+3.223924315369278j)
Bob,1990-02-11,52,9.18,True,A,(4.086729457121821+4.465015582359703j)
Charlie,1990-02-12,51,25.33,False,B,(2.6902824921138184+4.544556166956417j)
David,1990-02-13,66,27.07,False,C,(4.441552422688675+8.930659476445516j)
